control_id,domain,source_standard,source_requirement,applicable,asset,test_method,authorization_needed,status,evidence_reference,finding_id,limitation,reviewer_notes
ASVS-V12-2,Secure Communication,ASVS 5.0,V12.2.1,Sim,Headers/HSTS,Análise estática,Não,CONTROLE VALIDADO,next.config.mjs:19-20,--,HSTS: max-age=63072000; includeSubDomains; preload
ASVS-V13-1,Configuration,ASVS 5.0,V13.1.1,Sim,Config/Debug,Análise estática,Não,CONTROLE VALIDADO,next.config.mjs,--,Debug desabilitado; production build
ASVS-V13-2,Configuration,ASVS 5.0,V13.2.1,Sim,Config/Secrets,Não,HIPÓTESE,.env; lib/prisma.ts,--,.env não versionado; sem secret manager
ASVS-V14-1,Data Protection,ASVS 5.0,V14.1.1,Sim,PII/CPF,Análise estática,Não,CONTROLE VALIDADO,lib/cpf.ts; app/api/inscricoes/route.ts,--,CPF validation + duplicate check
ASVS-V14-2,Data Protection,ASVS 5.0,V14.2.1,Sim,PII/Storage,Não,HIPÓTESE,prisma/schema.prisma,--,Dados em PostgreSQL; criptografia em repouso assumida
ASVS-V14-3,Data Protection,ASVS 5.0,V14.3.1,Sim,PII/Logs,Não,PROVÁVEL,lib/logger.ts,--,Logger estruturado; PII em logs não verificado
ASVS-V15-1,Secure Coding,ASVS 5.0,V15.1.1,Sim,Code/Prisma,Análise estática,Não,CONTROLE VALIDADO,lib/prisma.ts; prisma/schema,--,Prisma prepared statements; sem raw SQL
ASVS-V15-2,Secure Coding,ASVS 5.0,V15.2.1,Sim,Code/Dependencies,Análise estática,Não,HIPÓTESE,package.json; package-lock.json,--,Lockfile presente; Trivy não executado
ASVS-V16-1,Logging/Errors,ASVS 5.0,V16.1.1,Sim,Logging/Error,Análise estática,Não,PROVÁVEL,lib/logger.ts; app/api/*/route.ts,--,Logger estruturado; error handling centralizado
ASVS-V16-2,Logging/Errors,ASVS 5.0,V16.2.1,Sim,Error Handling,Análise estática,Não,CONTROLE VALIDADO,app/api/*/route.ts:159-164,--,Error handling consistente; stack traces não vazados
ASVS-V16-3,Logging/Errors,ASVS 5.0,V16.3.1,Sim,Error/Info Disclosure,Análise estática,Não,CONTROLE VALIDADO,app/api/*/route.ts:161,--,Stack traces não vazados ao cliente
ASVS-V17-1,WebRTC,ASVS 5.0,V17.1.1,Não,WebRTC,N/A,N/A,--,N/A

OWASP-A01,Broken Access Control,OWASP Top 10:2025,A01,Sim,Authorization,Análise estática,Não,CONTROLE VALIDADO,middleware.ts; app/api/*,--,RBAC robusto; cross-tenant protection
OWASP-A02,Security Misconfiguration,OWASP Top 10:2025,A02,Sim,Config/Headers,Análise estática,Não,PROVÁVEL,next.config.mjs,--,CSP incompleto; headers básicos apenas
OWASP-A03,Supply Chain Failures,OWASP Top 10:2025,A03,Sim,Dependencies,Análise estática,Não,HIPÓTESE,package.json; package-lock.json,--,Trivy não executado; GHSA-69fq-xp46-6x23 não verificado
OWASP-A04,Cryptographic Failures,OWASP Top 10:2025,A04,Sim,Crypto/HTTPS,Análise estática,Não,HIPÓTESE,next.config.mjs; lib/auth.ts,--,TLS produção assumido; bcrypt cost 12
OWASP-A05,Injection,OWASP Top 10:2025,A05,Sim,Injection/SQL,Análise estática,Não,CONTROLE VALIDADO,lib/prisma.ts; prisma/schema,--,Prisma prepared statements; sem raw SQL
OWASP-A06,Insecure Design,OWASP Top 10:2025,A06,Sim,Design/AuthZ,Análise estática,Não,CONTROLE VALIDADO,middleware.ts; app/api/*,--,RBAC bem desenhado; deny-by-default
OWASP-A07,Authentication Failures,OWASP Top 10:2025,A07,Sim,Auth/Session,Análise estática,Não,PROVÁVEL,lib/auth.ts; rate limit,--,Rate limit in-memory; MFA não obrigatório
OWASP-A08,Integrity Failures,OWASP Top 10:2025,A08,Sim,Supply Chain,Análise estática,Não,HIPÓTESE,package.json; package-lock.json,--,SBOM não gerado; Trivy não executado
OWASP-A09,Logging Failures,OWASP Top 10:2025,A09,Sim,Logging/Monitoring,Análise estática,Não,PROVÁVEL,lib/logger.ts,--,Logs básicos; sem SIEM/alertas
OWASP-A10,Exceptional Conditions,OWASP Top 10:2025,A10,Sim,Error Handling,Análise estática,Não,CONTROLE VALIDADO,app/api/*/route.ts,--,Error handling consistente; stack traces não vazados

API1,BOLA,OWASP API 2023,API1,Sim,API/BOLA,Análise estática,Não,CONTROLE VALIDADO,app/api/inscricoes/route.ts:176-179,--,VIEWER vê apenas suas inscrições
API2,Broken Authentication,OWASP API 2023,API2,Sim,Auth/JWT,Análise estática,Não,PROVÁVEL,lib/auth.ts; rate limit,--,Rate limit in-memory; JWT forte
API3,Broken Object Property Level Authorization,OWASP API 2023,API3,Sim,API/Mass Assignment,Análise estática,Não,CONTROLE VALIDADO,app/api/cultura/[id]/route.ts:54-62,--,Allowed fields allowlist
API4,Unrestricted Resource Consumption,OWASP API 2023,API4,Sim,API/Rate Limit,Análise estática,Não,PROVÁVEL,app/api/auth/register/route.ts:6-29,--,Rate limit in-memory
API5,Broken Function Level Authorization,OWASP API 2023,API5,Sim,API/RBAC,Análise estática,Não,CONTROLE VALIDADO,app/api/admin/*/route.ts,--,Role checks consistentes
API6,Unrestricted Access to Sensitive Business Flows,OWASP API 2023,API6,Sim,API/Business Logic,Análise estática,Não,CONTROLE VALIDADO,app/api/inscricoes/route.ts,--,Duplicate check; status validation
API7,SSRF,OWASP API 2023,API7,Sim,SSRF/Egress,Não,NÃO TESTADO,app/api/*,--,SSRF/Egress não identificado no código
API8,Security Misconfiguration,OWASP API 2023,API8,Sim,API/Config,Análise estática,Não,PROVÁVEL,next.config.mjs,--,CSP incompleto
API9,Improper Inventory Management,OWASP API 2023,API9,Sim,API/Inventory,Não,HIPÓTESE,app/api/*,--,OpenAPI/Swagger em /docs
API10,Unsafe Consumption of APIs,OWASP API 2023,API10,Sim,API/Third-party,Não,NÃO TESTADO,lib/*,--,Integrações terceiras não identificadas
